model_year,make,model,vehicle_class,engine_size_l,cylinders,transmission,fuel_type,city_l_per_100_km,highway_l_per_100_km,combined_l_per_100_km,combined_mpg,co2_emissions_g_per_km,co2_rating,smog_rating,vehicle_specification_make,vehicle_specification_model,measurements_obtained_in_year,overall_length,overall_width,overall_height,wheelbase,curb_weight,front_end_length,rear_end_length,side_glass_height,body_side_height,roof_width,front_overhang,rear_overhang,track_width_front,track_width_rear,weight_distribution
2011,Acura,CSX,Compact,2.0,4,AS5,X,10.9,7.8,9.5,30,219,,,ACURA,CSX 4DR SEDAN FWD /TECH PACKAGE,6.0,454.0,175.0,144.0,270,1300.0,94.0,45.0,36.0,76.0,110.0,92.0,93.0,150.0,151.0,61/39
2011,Acura,CSX,Compact,2.0,4,M5,X,10.0,7.6,8.9,32,205,,,ACURA,CSX 4DR SEDAN FWD /TECH PACKAGE,6.0,454.0,175.0,144.0,270,1300.0,94.0,45.0,36.0,76.0,110.0,92.0,93.0,150.0,151.0,61/39
2011,Acura,CSX,Compact,2.0,4,M6,Z,11.6,8.1,10.0,28,230,,,ACURA,CSX 4DR SEDAN FWD /TECH PACKAGE,6.0,454.0,175.0,144.0,270,1300.0,94.0,45.0,36.0,76.0,110.0,92.0,93.0,150.0,151.0,61/39
2011,Acura,MDX AWD,Sport utility vehicle,3.7,6,AS6,Z,14.8,11.3,13.2,21,304,,,ACURA,MDX 4DR SUV AWD /TECH/ELITE,10.0,485.0,199.0,173.0,275,2064.0,117.0,183.0,42.0,85.0,126.0,100.0,110.0,172.0,172.0,56/44
2011,Acura,RDX AWD Turbo,Sport utility vehicle,2.3,4,AS5,Z,13.2,10.3,11.9,24,274,,,ACURA,RDX 4DR SUV AWD /TECH PACKAGE,10.0,462.0,187.0,166.0,265,1790.0,125.0,152.0,38.0,84.0,124.0,98.0,99.0,158.0,159.0,57/43
2011,Acura,RL AWD,Mid-size,3.7,6,AS6,Z,13.7,9.7,11.9,24,274,,,ACURA,RL 4DR SEDAN AWD /ELITE,9.0,497.0,185.0,146.0,280,1864.0,125.0,73.0,37.0,80.0,116.0,104.0,111.0,157.0,157.0,58/42
2011,Acura,TL,Mid-size,3.5,6,AS5,Z,13.1,8.9,11.2,25,258,,,ACURA,TL 4 DR SEDAN FWD/TECHNOLOGY,9.0,497.0,188.0,145.0,278,1682.0,134.0,62.0,34.0,81.0,117.0,105.0,115.0,160.0,161.0,61/39
2011,Acura,TL AWD,Mid-size,3.7,6,AS5,Z,13.8,9.6,11.9,24,274,,,ACURA,TL 4 DR SEDAN SH-AWD/SH-AWD TECHNOLOGY,9.0,497.0,188.0,145.0,278,1801.0,134.0,62.0,34.0,81.0,117.0,105.0,115.0,160.0,161.0,59/41
2011,Acura,TL AWD,Mid-size,3.7,6,M6,Z,13.4,9.5,11.6,24,267,,,ACURA,TL 4 DR SEDAN SH-AWD/SH-AWD TECHNOLOGY,9.0,497.0,188.0,145.0,278,1801.0,134.0,62.0,34.0,81.0,117.0,105.0,115.0,160.0,161.0,59/41
2011,Acura,TSX,Compact,2.4,4,AS5,Z,10.6,7.4,9.2,31,212,,,ACURA,TSX 4DR SEDAN FWD TECH PACKAGE/PREMIUM,9.0,473.0,184.0,144.0,271,1545.0,121.0,44.0,35.0,79.0,115.0,97.0,104.0,158.0,158.0,60/40
2011,Acura,TSX,Compact,2.4,4,M6,Z,11.3,8.1,9.9,29,228,,,ACURA,TSX 4DR SEDAN FWD TECH PACKAGE/PREMIUM,9.0,473.0,184.0,144.0,271,1545.0,121.0,44.0,35.0,79.0,115.0,97.0,104.0,158.0,158.0,60/40
2011,Acura,TSX,Compact,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,,,ACURA,TSX 4DR SEDAN FWD V6,9.0,473.0,184.0,144.0,271,1672.0,121.0,44.0,35.0,79.0,115.0,97.0,104.0,158.0,158.0,60/40
2011,Acura,ZDX AWD,Sport utility vehicle,3.7,6,AS6,Z,14.3,10.4,12.5,23,288,,,ACURA,ZDX 4DR SUV AWD / TECH ELITE,10.0,488.0,199.0,160.0,275,2064.0,133.0,109.0,33.0,88.0,120.0,109.0,104.0,172.0,171.0,58/42
2011,Aston Martin,DB9,Minicompact,5.9,12,AS6,Z,18.0,12.0,15.3,18,352,,,ASTON MARTIN,DB9 2DR COUPE RWD,4.0,470.0,188.0,127.0,274,1760.0,,,,,,,,157.0,156.0,50/50
2011,Aston Martin,DB9,Minicompact,5.9,12,M6,Z,20.8,13.7,17.6,16,405,,,ASTON MARTIN,DB9 2DR COUPE RWD,4.0,470.0,188.0,127.0,274,1760.0,,,,,,,,157.0,156.0,50/50
2011,Aston Martin,DBS,Minicompact,5.9,12,AS6,Z,20.0,13.1,16.9,17,389,,,ASTON MARTIN,DBS 2DR COUPE RWD,8.0,472.0,191.0,128.0,274,1695.0,,,,,,,,,,
2011,Aston Martin,DBS,Minicompact,5.9,12,M6,Z,21.1,14.2,18.0,16,414,,,ASTON MARTIN,DBS 2DR COUPE RWD,8.0,472.0,191.0,128.0,274,1695.0,,,,,,,,,,
2011,Aston Martin,Rapide,Subcompact,5.9,12,AS6,Z,18.6,12.2,15.7,18,361,,,ASTON MARTIN,RAPIDE 4DR SEDAN RWD,11.0,502.0,193.0,136.0,299,1950.0,,,,,,,,,,
2011,Aston Martin,V8 Vantage,Two-seater,4.7,8,AM6,Z,17.0,11.9,14.7,19,338,,,ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,6.0,438.0,187.0,126.0,260,1630.0,,,,,,,,157.0,159.0,
2011,Aston Martin,V8 Vantage,Two-seater,4.7,8,M6,Z,18.1,12.2,15.4,18,354,,,ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,6.0,438.0,187.0,126.0,260,1630.0,,,,,,,,157.0,159.0,
2011,Aston Martin,V8 Vantage S,Two-seater,4.7,8,AM7,Z,17.3,11.3,14.6,19,336,,,ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,6.0,438.0,187.0,126.0,260,1630.0,,,,,,,,157.0,159.0,
2011,Aston Martin,V12 Vantage,Two-seater,5.9,12,M6,Z,21.1,14.2,18.0,16,414,,,ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,6.0,438.0,187.0,126.0,260,1630.0,,,,,,,,157.0,159.0,
2011,Audi,A3,Station wagon: Small,2.0,4,AS6,Z,10.8,8.2,9.6,29,221,,,AUDI,A3 4DR HATCH 2.0T QUATTRO,5.0,429.0,174.0,142.0,258,1570.0,104.0,137.0,34.0,77.0,100.0,88.0,83.0,152.0,148.0,60/40
2011,Audi,A3 TDI (modified),Station wagon: Small,2.0,4,AS6,D,8.1,6.4,7.4,38,198,,,AUDI,A3 4DR HATCH 2.0 T FWD/2.0 TDI,5.0,429.0,174.0,142.0,258,1390.0,104.0,137.0,34.0,77.0,100.0,88.0,83.0,152.0,148.0,60/40
2011,Audi,A3,Station wagon: Small,2.0,4,M6,Z,11.8,8.0,10.1,28,232,,,AUDI,A3 4DR HATCH 2.0T QUATTRO,5.0,429.0,174.0,142.0,258,1570.0,104.0,137.0,34.0,77.0,100.0,88.0,83.0,152.0,148.0,60/40
2011,Audi,A3 quattro,Station wagon: Small,2.0,4,AS6,Z,11.0,8.9,10.0,28,230,,,AUDI,A3 4DR HATCH 2.0T QUATTRO,5.0,429.0,174.0,142.0,258,1570.0,104.0,137.0,34.0,77.0,100.0,88.0,83.0,152.0,148.0,60/40
